$ jcmd 17696 GC.class_histogram
17696:
 num     #instances         #bytes  class name (module)
 222:             1             16  java.lang.reflect.ReflectAccess (java.base@17.0.1)
 223:             1             16  java.net.URI$1 (java.base@17.0.1)
 224:             1             16  java.net.URL$3 (java.base@17.0.1)
 225:             1             16  java.net.URL$DefaultFactory (java.base@17.0.1)
 226:             1             16  java.nio.Bits$1 (java.base@17.0.1)
 227:             1             16  java.nio.Buffer$1 (java.base@17.0.1)
 228:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl (java.base@17.0.1)
 229:             1             16  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.1)
 230:             1             16  java.util.Collections$EmptyList (java.base@17.0.1)
 231:             1             16  java.util.Collections$EmptySet (java.base@17.0.1)
 232:             1             16  java.util.Collections$UnmodifiableSet (java.base@17.0.1)
 233:             1             16  java.util.HashMap$EntrySet (java.base@17.0.1)
 234:             1             16  java.util.IdentityHashMap$KeySet (java.base@17.0.1)
 235:             1             16  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@17.0.1)
 236:             1             16  java.util.jar.Attributes (java.base@17.0.1)
 237:             1             16  java.util.jar.JavaUtilJarAccessImpl (java.base@17.0.1)
 238:             1             16  java.util.zip.ZipFile$1 (java.base@17.0.1)
 239:             1             16  jdk.internal.misc.ScopedMemoryAccess (java.base@17.0.1)
 240:             1             16  jdk.internal.misc.TerminatingThreadLocal$1 (java.base@17.0.1)
 241:             1             16  jdk.internal.misc.Unsafe (java.base@17.0.1)
 242:             1             16  jdk.internal.module.ArchivedBootLayer (java.base@17.0.1)
 243:             1             16  jdk.internal.module.ModuleLoaderMap$Mapper (java.base@17.0.1)
 244:             1             16  jdk.internal.module.ModulePatcher (java.base@17.0.1)
 245:             1             16  jdk.internal.module.ModuleTarget (java.base@17.0.1)
 246:             1             16  jdk.internal.perf.Perf (java.base@17.0.1)
 247:             1             16  jdk.internal.reflect.ReflectionFactory (java.base@17.0.1)
 248:             1             16  sun.net.www.protocol.file.Handler (java.base@17.0.1)
 249:             1             16  sun.net.www.protocol.jar.Handler (java.base@17.0.1)
 250:             1             16  sun.nio.fs.NativeBuffers$1 (java.base@17.0.1)
 251:             1             16  sun.nio.fs.WindowsFileSystemProvider (java.base@17.0.1)
Total         11291         553720
